11,3,75,1,13,"mul_name@367-380@sys/arch/alpha/alpha/db_disasm.c","sys/arch/alpha/alpha/db_disasm.c","mul_name",367,380
19,7,114,1,21,"special_name@393-414@sys/arch/alpha/alpha/db_disasm.c","sys/arch/alpha/alpha/db_disasm.c","special_name",393,414
15,6,91,1,17,"intmisc_name@436-453@sys/arch/alpha/alpha/db_disasm.c","sys/arch/alpha/alpha/db_disasm.c","intmisc_name",436,453
14,3,95,3,15,"float_name@458-473@sys/arch/alpha/alpha/db_disasm.c","sys/arch/alpha/alpha/db_disasm.c","float_name",458,473
11,4,58,1,11,"register_name@808-819@sys/arch/alpha/alpha/db_disasm.c","sys/arch/alpha/alpha/db_disasm.c","register_name",808,819
9,1,46,2,10,"db_disasm@829-839@sys/arch/alpha/alpha/db_disasm.c","sys/arch/alpha/alpha/db_disasm.c","db_disasm",829,839
212,76,1074,3,265,"alpha_print_instruction@842-1107@sys/arch/alpha/alpha/db_disasm.c","sys/arch/alpha/alpha/db_disasm.c","alpha_print_instruction",842,1107
25,5,131,5,47,"ddb_trap@140-187@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","ddb_trap",140,187
10,2,50,3,10,"db_read_bytes@193-203@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_read_bytes",193,203
11,2,54,3,11,"db_write_bytes@209-220@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_write_bytes",209,220
4,1,11,0,4,"db_enter@223-227@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_enter",223,227
12,4,63,2,14,"db_register_value@271-285@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_register_value",271,285
9,3,53,1,9,"db_inst_call@292-301@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_inst_call",292,301
8,2,41,1,8,"db_inst_return@304-312@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_inst_return",304,312
8,2,41,1,8,"db_inst_trap_return@315-323@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_inst_trap_return",315,323
26,17,86,1,27,"db_inst_branch@326-353@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_inst_branch",326,353
19,7,71,1,21,"db_inst_unconditional_flow_transfer@356-377@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_inst_unconditional_flow_transfer",356,377
8,2,45,2,8,"db_inst_spill@381-389@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_inst_spill",381,389
22,11,153,1,28,"db_inst_load@393-421@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_inst_load",393,421
38,18,154,3,48,"db_branch_taken@424-472@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_branch_taken",424,472
10,3,50,1,10,"db_valid_breakpoint@480-490@sys/arch/alpha/alpha/db_interface.c","sys/arch/alpha/alpha/db_interface.c","db_valid_breakpoint",480,490
