Release,Hardware arch,Patch,Comment,Category
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/015_realpath.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/014_sendmail.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/013_kerberos.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/012_kpr.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/011_blinding.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/010_lprm.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/009_sendmail.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/008_httpd.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/007_ssl.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/006_cvs.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/005_named.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/004_pool.patch,,Reliability
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/003_smrsh.patch,,Security
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/002_pfbridge.patch,,Reliability
3.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.2/common/001_kadmin.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/022_cvs.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/021_openssl.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/020_isakmpd2.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/019_httpd2.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/018_tcp.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/017_font.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/016_ip6.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/015_sysvshm.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/014_isakmpd.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/013_sem.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/012_uvm.patch,,Reliability
3.3,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/i386/011_ibcs2.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/010_exec.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/009_httpd.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/008_arp.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/007_asn1.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/006_pfnorm.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/005_sendmail.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/004_sshbuffer.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/003_sysvsem.patch,,Security
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/002_semget.patch,,Reliability
3.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.3/common/001_realpath.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/035_pfkey.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/034_lynx.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/033_pppd.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/032_bind.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/031_radius.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/030_xpm.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/029_httpd4.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/028_bridge.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/027_icmp.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/026_rnd.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/025_httpd3.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/024_isakmpd3.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/023_cvs3.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/022_kerberos.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/021_cvs2.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/020_procfs.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/019_tcp2.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/018_gdt.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/017_cvs.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/016_openssl.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/015_isakmpd2.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/014_httpd2.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/013_tcp.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/012_font.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/011_ip6.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/010_sysvshm.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/009_isakmpd.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/008_sem.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/007_uvm.patch,,Reliability
3.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/i386/006_ibcs2.patch,,Security
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/005_exec.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/004_httpd.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/003_arp.patch,,Reliability
3.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.4/common/002_asn1.patch,,Security
3.4,All,-,,Documentation fix
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/033_cvs4.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/032_tcp2.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/031_telnet.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/030_sack.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/amd64/029_copy.patch,,Security
3.5,amd64,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/i386/028_locore.patch,,Security
3.5,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/027_rtt.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/026_httpd3.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/025_getcwd.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/024_pfkey.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/023_lynx.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/022_pppd.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/021_bind.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/020_radius.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/019_xpm.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/018_httpd2.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/017_libz.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/016_bridge.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/015_icmp.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/014_rnd.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/013_httpd.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/012_isakmpd.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/011_cvs3.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/010_fifofs.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/009_kerberos.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/008_xdm.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/007_cvs2.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/006_procfs.patch,,Security
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/005_tcp.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/004_scsi.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/003_gdt.patch,,Reliability
3.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.5/common/002_cvs.patch,,Security
3.5,All,-,,Broken package on CD
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/020_libz.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/019_libz.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/018_sudo.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/017_getsockopt.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/016_cvs.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/015_tcp.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/014_telnet.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/013_sack.patch,,Reliability
3.6,amd64,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/amd64/012_copy.patch,,Security
3.6,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/i386/011_locore.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/010_rtt.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/009_httpd.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/008_getcwd.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/007_pfkey.patch,,Security
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/006_xl.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/005_isakmpd.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/004_lynx.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/003_pppd.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/002_bind.patch,,Reliability
3.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.6/common/001_st.patch,,Reliability
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/013_xorg.patch,,Security
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/012_sendmail.patch,,Security
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/011_ssh.patch,,Security
3.7,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/i386/010_i386machdep.patch,,Reliability
3.7,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/i386/009_i386pmap.patch,,Reliability
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/008_fd.patch,,Security
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/007_perl.patch,,Security
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/006_nat-t.patch,,Reliability
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/005_libz.patch,,Security
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/004_libz.patch,,Security
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/003_sudo.patch,,Security
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/002_getsockopt.patch,,Reliability
3.7,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.7/common/001_cvs.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/020_ssh2.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/019_systrace.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/018_openssl2.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/017_httpd2.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/016_openssl.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/015_bind.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/014_sppp.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/013_isakmpd.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/012_sem.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/011_dhcpd.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/010_sendmail3.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/009_httpd.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/008_sendmail2.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/007_xorg.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/006_sendmail.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/005_ssh.patch,,Security
3.8,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/i386/004_i386machdep.patch,,Reliability
3.8,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/i386/003_i386pmap.patch,,Reliability
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/002_fd.patch,,Security
3.8,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.8/common/001_perl.patch,,Security
3.9,powerpc,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/macppc/023_altivec.patch,,Stability fix
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/022_route6.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/021_xorg.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/020_m_dup1.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/019_timezone.patch,,Interoperability fix
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/018_icmp6.patch,,Reliability
3.9,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/i386/017_agp.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/016_ldso.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/015_ssh.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/014_systrace.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/013_openssl2.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/012_httpd2.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/011_openssl.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/010_bind.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/009_sppp.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/008_isakmpd.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/007_sem.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/006_dhcpd.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/005_sendmail3.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/004_httpd.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/003_sendmail2.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/002_xorg.patch,,Security
3.9,All,https://ftp.openbsd.org/pub/OpenBSD/patches/3.9/common/001_sendmail.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/017_openssl.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/016_dhcpd.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/015_file.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/014_xorg.patch,,Stability fix
4.0,powerpc,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/macppc/013_altivec.patch,,Stability fix
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/012_route6.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/011_xorg.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/010_m_dup1.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/009_timezone.patch,,Interoperability fix
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/008_icmp6.patch,,Reliability
4.0,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/i386/007_agp.patch,,Security
4.0,All,-,,FTP distribution error
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/005_ldso.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/004_arc.patch,,Reliability
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/003_systrace.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/002_openssl.patch,,Security
4.0,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.0/common/001_httpd.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/016_openssh2.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/015_openssh.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/014_ppp.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/013_tcprespond.patch,,Reliability
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/012_xorg.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/011_openssl.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/010_dhcpd.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/009_file.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/008_xorg.patch,,Stability fix
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/007_kroute.patch,,Reliability
4.1,powerpc,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/macppc/006_altivec.patch,,Stability fix
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/005_route6.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/004_xorg.patch,,Security
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/003_spamd.patch,,Reliability
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/002_splnet.patch,,Stability fix
4.1,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.1/common/001_mbuf.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/015_ndp.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/014_pcb.patch,,Reliability
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/013_bind.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/012_xorg2.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/011_openssh2.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/010_openssh.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/009_ppp.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/008_ip6rthdr.patch,,Reliability
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/007_tcprespond.patch,,Reliability
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/006_xorg.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/005_ifrtlabel.patch,,Reliability
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/004_pf.patch,,Reliability
4.2,i386,-,,CD boot failure on older computers
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/002_openssl.patch,,Security
4.2,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.2/common/001_dhcpd.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/013_pf.patch,,Reliability
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/012_openssl.patch,,Reliability
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/011_sudo.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/010_bgpd.patch,,Reliability
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/009_bgpd.patch,,Reliability
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/008_bind.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/007_openssl.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/006_ndp.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/005_pcb.patch,,Reliability
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/004_bind.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/003_xorg.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/002_openssh2.patch,,Security
4.3,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.3/common/001_openssh.patch,,Security
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/016_getsockopt.patch,,Reliability
4.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/i386/015_xmm.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/014_bind.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/013_pf.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/012_openssl.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/011_sudo.patch,,Security
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/010_bgpd.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/009_bgpd.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/008_bind.patch,,Security
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/007_openssl.patch,,Security
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/006_dhcpd.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/005_pglistalloc.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/004_httpd.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/003_tcpinput.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/002_vr.patch,,Reliability
4.4,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.4/common/001_ndp.patch,,Security
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/016_openssl.patch,,Security
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/015_mpi.patch,,Reliability
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/014_kerberos.patch,,Reliability
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/013_ftpd.patch,,Reliability
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/012_openssl.patch,,Security
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/011_ptrace.patch,,Reliability
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/010_openssl.patch,,Security
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/009_getsockopt.patch,,Reliability
4.5,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/i386/008_xmm.patch,,Reliability
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/007_bind.patch,,Reliability
4.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/4.5/common/006_perl_zlib.patch,,Reliability
