Release,Hardware arch,Patch,Comment,Category
2.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/i386/bootargv.patch,,Functionality
2.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/i386/trctrap.patch,,Security
2.4,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/i386/installboot.patch,,Functionality
2.4,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/sparc/hme.patch,,Driver
2.4,sparc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.4/sparc/le.patch,,Driver
2.4,All,-,,Functionality
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/012_cron.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/011_miscfs.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/010_profil.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/009_ipsec_in_use.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/008_rc.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/007_chflags.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/006_nroff.patch,,Security
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/005_fts.patch,,Reliability
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/004_tcpsack.patch,,Reliability
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/003_espdata.patch,,Reliability
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/002_bmap.patch,,Reliability
2.5,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/common/001_pfkey.patch,,Reliability
2.5,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/i386/014_y2k.patch,,Y2K
2.5,i386,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/i386/013_brooktree.patch,,Reliability
2.5,mac68k,https://ftp.openbsd.org/pub/OpenBSD/2.5/mac68k/utils,,Installation
2.5,powerpc,https://ftp.openbsd.org/pub/OpenBSD/patches/2.5/powerpc/001_trap.patch,,Reliability
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/024_sysv_sem.patch,,Security
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/023_ipf.patch,,Security
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/022_xlockmore.patch,,Security
2.6,All,-,,RZCZ snooping
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/020_syslog.patch,,Library improvement
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/019_nsphy.patch,,Driver improvement
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/018_procfs.patch,,Security
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/008_fortran.patch,wrong patch number,Functionality
2.6,All,-,,Security
2.6,All,https://ftp.openbsd.org/pub/OpenBSD/patches/2.6/common/015_aty2k.patch,,Y2K
